id,label
07407_2,2
07405_2,2
05025_2,2
00653_2,2
03955_3,3
02699_2,2
06467_2,2
04157_3,3
00490_3,3
04318_1,1
04069_3,3
07082_2,2
02721_1,1
05688_2,2
01642_2,2
07146_1,1
03137_3,3
03687_4,4
03796_2,2
01135_1,1
01748_1,1
00235_1,1
06879_2,2
08508_2,2
04384_1,1
03388_1,1
00600_2,2
04156_2,2
00308_2,2
05559_3,3
05893_2,2
03211_2,2
05243_2,2
06471_2,2
00977_3,3
07275_3,3
05311_2,2
06930_4,4
03565_4,4
01070_2,2
02041_4,4
00238_4,4
02535_4,4
07055_2,2
00525_1,1
05396_5,5
08687_2,2
04491_1,1
06314_1,1
05801_2,2
02269_2,2
02229_2,2
07603_4,4
03233_3,3
06873_2,2
07873_1,1
07355_2,2
03403_1,1
03112_1,1
06449_3,3
02322_2,2
00116_3,3
02365_3,3
05980_2,2
04147_2,2
04606_3,3
02379_3,3
03587_2,2
08545_2,2
05115_4,4
05772_2,2
07905_1,1
04388_3,3
02741_2,2
02567_1,1
00771_2,2
06686_2,2
03835_4,4
05026_4,4
07753_1,1
02822_2,2
06822_1,1
00785_2,2
06997_1,1
03756_3,3
05445_2,2
06597_2,2
00806_4,4
00796_5,5
02945_3,3
05877_1,1
05300_2,2
00222_2,2
02481_1,1
07849_2,2
05817_2,2
02363_3,3
03875_1,1
06954_4,4
04212_3,3
07550_3,3
02364_2,2
04052_5,5
03842_1,1
02465_2,2
01660_2,2
05287_2,2
02114_2,2
01010_3,3
06687_4,4
00714_2,2
00354_2,2
01142_1,1
05242_2,2
03344_1,1
00748_5,5
01156_3,3
01299_2,2
06836_3,3
01658_3,3
02591_1,1
04904_2,2
06375_1,1
06565_2,2
03340_4,4
03691_2,2
00669_2,2
03105_3,3
01500_2,2
06189_2,2
06022_2,2
07722_5,5
06709_1,1
04680_2,2
01906_2,2
00301_2,2
07605_2,2
07819_4,4
02723_5,5
02020_2,2
02074_3,3
01933_1,1
04048_2,2
02478_4,4
05280_2,2
05614_1,1
02218_2,2
02935_2,2
00666_2,2
04833_4,4
05013_2,2
07584_2,2
06165_2,2
08538_1,1
05466_1,1
05989_3,3
04955_2,2
06389_2,2
07718_1,1
06567_4,4
04137_2,2
00832_4,4
02435_1,1
01695_2,2
07325_2,2
04814_2,2
01694_2,2
02913_2,2
00603_2,2
02087_2,2
04063_2,2
02719_2,2
06933_2,2
07195_1,1
00629_2,2
02660_3,3
08175_3,3
00867_2,2
05426_1,1
07364_2,2
06233_2,2
01550_1,1
03018_1,1
00829_2,2
06321_1,1
00241_2,2
04031_4,4
06066_1,1
03549_3,3
02015_3,3
06319_4,4
04391_2,2
00338_2,2
02156_2,2
01518_2,2
02599_2,2
04236_1,1
03391_2,2
08523_3,3
01870_3,3
01730_2,2
07491_1,1
07204_3,3
03347_2,2
04858_3,3
06783_1,1
01486_2,2
01592_2,2
02341_2,2
00082_4,4
07464_2,2
01078_2,2
02911_2,2
08419_4,4
00538_2,2
01076_1,1
08321_3,3
04551_2,2
02252_2,2
08600_2,2
04827_2,2
04546_2,2
03329_5,5
07450_1,1
00727_2,2
03683_3,3
07601_2,2
05421_3,3
01225_2,2
05875_1,1
08261_2,2
03932_2,2
08713_1,1
07816_5,5
05819_1,1
05440_1,1
02644_2,2
01251_3,3
04134_1,1
03846_2,2
01140_1,1
00865_1,1
01197_2,2
08309_2,2
05472_3,3
08176_2,2
06242_1,1
02226_3,3
03337_2,2
04756_3,3
03183_3,3
05791_1,1
02522_1,1
07026_2,2
04150_1,1
02255_2,2
01666_1,1
01662_2,2
01940_5,5
07940_1,1
04901_1,1
02475_1,1
04029_3,3
02047_3,3
08130_3,3
04413_1,1
08253_1,1
02309_5,5
04627_1,1
04057_4,4
05956_2,2
01312_2,2
06031_5,5
07643_1,1
04220_2,2
00285_2,2
03583_2,2
06356_2,2
02924_2,2
01735_2,2
02451_4,4
07864_5,5
08147_3,3
00058_2,2
01881_2,2
05773_2,2
05398_4,4
03959_4,4
03195_1,1
08315_3,3
00112_1,1
07848_2,2
05691_2,2
05739_2,2
08278_3,3
04553_2,2
04040_3,3
04525_2,2
03657_2,2
06815_1,1
06580_5,5
05347_2,2
01802_2,2
05223_2,2
05993_1,1
01674_2,2
04164_2,2
04304_2,2
04274_3,3
04502_1,1
00358_4,4
07863_3,3
00710_1,1
06746_1,1
00820_2,2
01977_2,2
03690_4,4
02299_3,3
07409_3,3
02405_4,4
06938_4,4
01912_2,2
02306_2,2
00912_1,1
08149_2,2
08075_3,3
01948_3,3
06536_1,1
08551_3,3
08541_1,1
03792_2,2
02501_2,2
01093_2,2
01647_2,2
07630_2,2
01513_1,1
03715_2,2
01497_2,2
08599_2,2
01792_2,2
06989_5,5
00986_1,1
02185_3,3
07852_2,2
07203_3,3
02048_2,2
01760_3,3
03788_2,2
06818_2,2
07512_1,1
00530_2,2
06466_1,1
03009_2,2
02914_3,3
00970_1,1
02521_1,1
07408_3,3
04146_2,2
02270_2,2
04670_3,3
00183_1,1
07606_2,2
02753_1,1
03005_3,3
02812_1,1
01252_2,2
02353_4,4
05765_5,5
01968_1,1
01664_2,2
02112_2,2
04004_3,3
01226_2,2
08446_2,2
02442_5,5
02460_2,2
06244_2,2
05062_2,2
03822_3,3
01199_5,5
06792_1,1
02165_2,2
05290_2,2
04061_2,2
01714_5,5
04224_2,2
01943_5,5
01698_2,2
08352_5,5
08313_2,2
03103_2,2
00518_3,3
05289_3,3
07832_2,2
02350_4,4
03442_1,1
03793_1,1
03989_3,3
01869_1,1
03060_5,5
05330_2,2
03724_4,4
00402_3,3
01539_2,2
06317_2,2
02258_2,2
06301_2,2
03003_2,2
02548_3,3
00734_1,1
