id,label
04551_2,2
03402_1,1
00308_2,2
02567_1,1
08241_2,2
05232_2,2
01943_5,5
04221_2,2
05628_2,2
02924_2,2
02887_2,2
01369_2,2
08127_3,3
07325_2,2
08280_1,1
05830_1,1
00636_2,2
01695_2,2
00873_5,5
06022_2,2
05427_1,1
08558_2,2
00595_1,1
03518_4,4
07848_2,2
00485_5,5
04738_1,1
04643_1,1
01871_1,1
06642_3,3
04388_3,3
08590_2,2
03614_2,2
01518_2,2
06436_1,1
04558_2,2
05223_2,2
04633_4,4
00244_2,2
07536_2,2
04947_4,4
06300_3,3
08687_2,2
03238_4,4
02528_2,2
06536_1,1
05414_2,2
00608_1,1
03958_2,2
07601_2,2
04546_2,2
07816_5,5
02041_4,4
02461_2,2
00953_2,2
02922_2,2
01197_2,2
05413_3,3
06783_1,1
05106_3,3
02708_3,3
01912_2,2
02317_1,1
01648_2,2
00183_1,1
07986_2,2
07553_3,3
06792_1,1
02308_2,2
01738_4,4
03109_2,2
03365_2,2
07629_3,3
05905_1,1
00353_2,2
05877_1,1
07199_2,2
05951_1,1
04053_5,5
04756_3,3
06945_1,1
05814_1,1
02471_4,4
05959_1,1
08531_2,2
04566_1,1
02425_1,1
05220_2,2
06743_1,1
08293_4,4
03506_1,1
01130_3,3
01662_2,2
00518_3,3
02854_1,1
04453_3,3
05786_2,2
07203_3,3
05679_3,3
06954_4,4
04850_2,2
01642_2,2
00058_2,2
01611_2,2
07854_5,5
01417_4,4
05802_2,2
06166_2,2
00975_1,1
08600_2,2
01658_3,3
05899_2,2
05559_3,3
06301_2,2
01552_2,2
04425_2,2
04208_3,3
08086_1,1
00600_2,2
04418_3,3
01260_2,2
01779_3,3
04015_2,2
00014_2,2
03391_2,2
04384_1,1
03009_2,2
07943_2,2
04858_3,3
01129_2,2
08691_5,5
05870_1,1
08146_2,2
05512_2,2
01093_2,2
03105_3,3
01913_4,4
05397_5,5
02460_2,2
02185_3,3
04318_1,1
04149_2,2
04632_2,2
05631_2,2
08670_2,2
01293_2,2
06627_2,2
02270_2,2
05423_2,2
07002_1,1
08664_3,3
03724_4,4
06023_4,4
03322_2,2
03549_3,3
01940_5,5
02228_2,2
04304_2,2
00241_2,2
06236_2,2
07187_1,1
02858_2,2
04630_2,2
05088_3,3
05006_2,2
03822_3,3
06824_2,2
04892_1,1
02501_2,2
03184_2,2
03731_4,4
05894_1,1
08688_2,2
06929_4,4
00301_2,2
06027_3,3
05291_2,2
01745_2,2
01553_4,4
00789_2,2
06952_2,2
05873_2,2
08174_1,1
07151_2,2
00539_2,2
00246_1,1
05277_1,1
07615_5,5
02822_2,2
00008_2,2
03342_2,2
02379_3,3
01792_2,2
02535_4,4
07992_2,2
03286_1,1
04391_2,2
02208_1,1
05396_5,5
04237_2,2
06683_2,2
02485_3,3
07584_2,2
06873_2,2
04134_1,1
05943_2,2
08442_5,5
07547_1,1
05709_1,1
01645_2,2
03755_2,2
05323_2,2
00006_1,1
02113_2,2
07965_3,3
00762_2,2
03838_2,2
00112_1,1
03587_2,2
00822_3,3
02380_1,1
00285_2,2
06298_2,2
01527_1,1
02948_2,2
04553_2,2
00505_2,2
07643_1,1
05975_2,2
05955_3,3
00748_5,5
01742_2,2
06687_4,4
02127_3,3
01869_1,1
06567_4,4
00421_4,4
05228_1,1
06476_5,5
03351_2,2
00653_2,2
06319_4,4
04788_2,2
00865_1,1
07198_2,2
02666_1,1
01820_1,1
00115_2,2
00771_2,2
00192_2,2
07772_3,3
08141_3,3
06028_3,3
02820_1,1
02869_5,5
07086_1,1
08356_2,2
08589_2,2
04748_3,3
03728_4,4
00291_2,2
06021_2,2
00525_1,1
01888_3,3
01226_2,2
02661_2,2
05736_3,3
06016_2,2
07041_1,1
07316_2,2
06650_2,2
05930_2,2
01789_1,1
00772_2,2
02358_1,1
01647_2,2
00116_3,3
08378_1,1
06988_5,5
05327_2,2
01104_2,2
04004_3,3
05494_5,5
02621_3,3
01872_1,1
04424_2,2
07841_2,2
03955_3,3
08532_2,2
06233_2,2
01230_2,2
07359_3,3
02123_4,4
03683_3,3
03303_3,3
03715_2,2
00963_1,1
01034_2,2
07082_2,2
01010_3,3
08604_2,2
07706_2,2
04217_3,3
05519_1,1
04063_2,2
00354_2,2
06852_2,2
06931_2,2
06214_2,2
07718_1,1
06472_2,2
07940_1,1
00388_4,4
02658_1,1
02248_3,3
03194_5,5
00503_1,1
03337_2,2
03233_3,3
07039_2,2
01076_1,1
01500_2,2
01391_2,2
04791_2,2
05746_5,5
06283_2,2
04061_2,2
02554_2,2
00867_2,2
05856_2,2
03489_2,2
07863_3,3
08538_1,1
02716_1,1
05612_5,5
04948_4,4
07196_2,2
02538_2,2
02511_2,2
06995_4,4
03878_2,2
02435_1,1
05062_2,2
00222_2,2
06746_1,1
04164_2,2
04621_1,1
07996_3,3
01358_3,3
05600_2,2
03796_2,2
03705_3,3
03046_3,3
03936_1,1
01844_2,2
05485_1,1
01357_2,2
00863_4,4
00820_2,2
02644_2,2
03738_1,1
03653_1,1
07925_2,2
07050_2,2
04556_3,3
07945_2,2
01795_2,2
06715_1,1
03300_3,3
05785_4,4
04005_2,2
04687_2,2
07616_5,5
00245_4,4
02321_2,2
06769_2,2
04068_1,1
02043_1,1
06580_5,5
05402_3,3
02129_2,2
08149_2,2
04274_3,3
04259_1,1
06066_1,1
04765_2,2
03966_1,1
05902_2,2
05024_2,2
04649_2,2
04170_2,2
03788_2,2
05989_3,3
02281_1,1
03792_2,2
04048_2,2
05420_1,1
07398_1,1
01079_2,2
02559_2,2
05025_2,2
04374_1,1
05472_3,3
01534_2,2
08037_3,3
04627_1,1
05693_2,2
00138_2,2
01496_2,2
00142_2,2
03584_3,3
01681_2,2
03846_2,2
03793_1,1
07411_2,2
08261_2,2
06162_3,3
03057_5,5
05105_2,2
08234_2,2
08313_2,2
05249_1,1
06031_5,5
08335_3,3
06989_5,5
07737_2,2
04057_4,4
01251_3,3
03632_1,1
02641_4,4
03798_2,2
07926_4,4
07920_2,2
07338_1,1
07270_2,2
08138_3,3
07679_2,2
08617_1,1
00537_1,1
03052_5,5
08355_3,3
04680_2,2
08302_1,1
06908_1,1
04432_4,4
02868_2,2
04812_1,1
02333_4,4
08057_3,3
03075_3,3
06314_1,1
07932_3,3
03056_2,2
08228_2,2
07457_1,1
04224_2,2
07445_4,4
08534_4,4
03690_4,4
03688_1,1
05424_5,5
03922_5,5
00796_5,5
00829_2,2
07608_1,1
01368_2,2
03053_2,2
03252_2,2
02458_1,1
00832_4,4
02353_4,4
00471_2,2
00603_2,2
01666_1,1
04143_2,2
