id,label
00759_5,5
01744_3,3
04453_3,3
01660_2,2
06769_2,2
03984_2,2
05311_2,2
03835_4,4
02688_2,2
03135_2,2
04421_3,3
04757_2,2
00474_3,3
04688_2,2
05898_1,1
07629_3,3
06022_2,2
02046_4,4
02318_3,3
05367_2,2
03303_3,3
07991_2,2
04418_3,3
04186_2,2
00772_2,2
01176_4,4
05709_1,1
04687_2,2
05224_2,2
07850_2,2
00745_2,2
00388_4,4
01912_2,2
00785_2,2
07861_5,5
04422_1,1
01312_2,2
01278_5,5
03320_1,1
05686_1,1
02578_4,4
03756_3,3
04952_1,1
05811_1,1
06242_1,1
01802_2,2
02333_4,4
06233_2,2
00526_1,1
07030_3,3
00593_1,1
08135_1,1
02015_3,3
04221_2,2
05491_1,1
04599_2,2
03112_1,1
01461_2,2
00421_4,4
02371_1,1
07042_2,2
07259_3,3
04670_3,3
07706_2,2
04491_1,1
03278_2,2
03619_2,2
00718_2,2
01486_2,2
01444_4,4
06784_2,2
07992_2,2
00078_2,2
06879_2,2
04255_2,2
00866_2,2
07920_2,2
00485_5,5
04759_2,2
05115_4,4
03365_2,2
05877_1,1
01913_4,4
02120_5,5
02528_2,2
01226_2,2
01197_2,2
05905_1,1
05814_1,1
06931_2,2
04208_3,3
05018_2,2
05511_2,2
01869_1,1
04424_2,2
05091_2,2
04259_1,1
03482_2,2
02642_2,2
08174_1,1
02165_2,2
05739_2,2
04606_3,3
01372_3,3
01906_2,2
07935_2,2
02306_2,2
00529_3,3
08436_2,2
00831_2,2
07606_2,2
02914_3,3
08075_3,3
04813_2,2
00854_2,2
04951_3,3
00238_4,4
00138_2,2
02380_1,1
07406_2,2
04834_3,3
08481_3,3
05624_2,2
05978_3,3
00443_3,3
05890_1,1
02248_3,3
03382_1,1
06627_2,2
03249_2,2
05772_2,2
08593_3,3
00402_3,3
00008_2,2
01192_3,3
02308_2,2
02857_2,2
01358_3,3
02337_1,1
08589_2,2
03286_1,1
04788_2,2
04827_2,2
08649_4,4
03060_5,5
02827_5,5
01648_2,2
01844_2,2
02458_1,1
01745_2,2
02945_3,3
06436_1,1
04566_1,1
05785_4,4
06321_1,1
03943_3,3
01504_2,2
04592_2,2
05987_2,2
04502_1,1
06663_1,1
08130_3,3
07115_2,2
07002_1,1
02820_1,1
07471_3,3
02465_2,2
04556_3,3
04950_2,2
03912_2,2
01072_2,2
04174_4,4
03846_2,2
03948_1,1
05486_2,2
05614_1,1
05962_4,4
01539_2,2
07943_2,2
08313_2,2
07590_2,2
00353_2,2
03755_2,2
01645_2,2
02353_4,4
07151_2,2
00338_2,2
08688_2,2
00829_2,2
05108_2,2
06472_2,2
08382_3,3
01517_2,2
00357_2,2
08619_3,3
00490_3,3
06930_4,4
07551_3,3
07772_3,3
05160_2,2
05232_2,2
05955_3,3
04196_2,2
08274_2,2
02442_5,5
03329_5,5
02185_3,3
04244_2,2
00308_2,2
02110_1,1
00538_2,2
01296_3,3
08146_2,2
07984_2,2
06192_2,2
06027_3,3
03300_3,3
03600_2,2
02340_1,1
08086_1,1
07512_1,1
02435_1,1
04274_3,3
06476_5,5
07926_4,4
08670_2,2
07819_4,4
04748_3,3
00869_2,2
04075_1,1
07146_1,1
03922_5,5
08000_3,3
06783_1,1
02660_3,3
05600_2,2
04546_2,2
03664_2,2
03338_2,2
02751_2,2
06052_4,4
02317_1,1
04003_2,2
08317_1,1
05989_3,3
04187_2,2
02911_2,2
07204_3,3
04949_1,1
00776_1,1
01174_2,2
04005_2,2
05360_5,5
03228_2,2
04166_2,2
06959_2,2
01790_2,2
07574_2,2
07722_5,5
04149_2,2
07599_3,3
08149_2,2
07925_2,2
03317_2,2
02848_2,2
02913_2,2
03688_1,1
05287_2,2
08446_2,2
07268_1,1
02417_1,1
03506_1,1
03183_3,3
00031_2,2
04170_2,2
