id,label
01196_2,2
01886_3,3
07471_3,3
03686_2,2
06436_1,1
01703_2,2
02716_1,1
01660_2,2
01580_2,2
07590_2,2
03872_5,5
07381_2,2
07704_2,2
03393_1,1
00235_1,1
03910_2,2
05612_5,5
04025_3,3
00694_2,2
02023_1,1
04221_2,2
04224_2,2
05631_2,2
02020_2,2
07355_2,2
05164_4,4
02688_2,2
01503_3,3
00963_1,1
06945_1,1
01079_2,2
07379_2,2
05750_1,1
07924_2,2
03003_2,2
05490_2,2
01838_1,1
00539_2,2
00873_5,5
08057_3,3
07055_2,2
03388_1,1
07531_3,3
00301_2,2
06377_3,3
03320_1,1
08220_1,1
06642_3,3
03619_2,2
06476_5,5
08175_3,3
07327_1,1
04139_1,1
07354_2,2
05801_2,2
08436_2,2
08418_1,1
01722_5,5
05350_1,1
04788_2,2
04502_1,1
06021_2,2
05628_2,2
04901_1,1
05426_1,1
01175_1,1
06932_2,2
03665_2,2
05023_3,3
03587_2,2
07275_3,3
05811_1,1
05875_1,1
06059_2,2
04421_3,3
03347_2,2
03110_1,1
01674_2,2
02501_2,2
06565_2,2
07408_3,3
00289_2,2
05791_1,1
07750_4,4
00831_2,2
02719_2,2
04418_3,3
07854_5,5
02269_2,2
00408_5,5
03489_2,2
06999_3,3
02521_1,1
05814_1,1
06596_2,2
08382_3,3
03137_3,3
05806_4,4
07610_3,3
05025_2,2
04164_2,2
00746_2,2
03878_2,2
05773_2,2
02218_2,2
06061_1,1
07940_1,1
03932_2,2
01010_3,3
02887_2,2
08540_3,3
04228_3,3
04765_2,2
07629_3,3
02358_1,1
06154_1,1
03664_2,2
07756_3,3
01742_2,2
04053_5,5
06965_3,3
05993_1,1
06952_2,2
01539_2,2
00526_1,1
01358_3,3
02405_4,4
00014_2,2
08075_3,3
08548_4,4
04904_2,2
04885_1,1
06162_3,3
05547_2,2
05440_1,1
03959_4,4
04946_5,5
03518_4,4
05220_2,2
08596_1,1
08446_2,2
00789_2,2
02567_1,1
03677_2,2
07197_2,2
08014_5,5
04068_1,1
03922_5,5
05519_1,1
02578_4,4
01530_2,2
03756_3,3
05511_2,2
01666_1,1
08086_1,1
00629_2,2
02203_2,2
03989_3,3
03300_3,3
00186_2,2
04425_2,2
02556_2,2
03211_2,2
06025_2,2
06298_2,2
08590_2,2
05766_2,2
04234_1,1
04756_3,3
08589_2,2
04833_4,4
03617_2,2
01226_2,2
08110_2,2
04588_3,3
04786_3,3
05882_1,1
02156_2,2
03616_3,3
05013_2,2
07905_1,1
05006_2,2
02281_1,1
06252_1,1
07888_5,5
01497_2,2
08713_1,1
04791_2,2
00058_2,2
07195_1,1
01704_4,4
07445_4,4
01078_2,2
00537_1,1
04952_1,1
08000_3,3
07276_3,3
04547_1,1
03705_3,3
05330_2,2
03103_2,2
04432_4,4
05091_2,2
03755_2,2
06044_5,5
03057_5,5
02308_2,2
08551_3,3
01417_4,4
08437_2,2
08358_2,2
07895_3,3
05786_2,2
07168_2,2
06121_3,3
07257_2,2
03731_4,4
04606_3,3
05898_1,1
05566_2,2
04450_3,3
02458_1,1
08228_2,2
07171_2,2
03011_1,1
07047_2,2
02111_1,1
05905_1,1
06564_2,2
03337_2,2
03861_1,1
04452_5,5
05494_5,5
07488_2,2
05802_2,2
03060_5,5
04556_3,3
06746_1,1
05466_1,1
03683_3,3
05355_2,2
00968_3,3
05951_1,1
05600_2,2
